Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,GenderDescription,AgeClassDescription,Demand_rel_county,Parish_variation_abs,Parish_variation_rel
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,Female,45-54,1e-06,-0.00014218286799999998,-5.708905251606672e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,Male,25-34,1e-06,-0.000408152843,-9.437101040604068e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,Male,45-54,1e-06,-2.5525272e-05,-1.534681533136105e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,Male,55-64,1e-06,-4.2477580000000014e-05,-1.550391184557478e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,Female,15-24,5e-06,-0.0007456566650000001,-1.9380515249232317e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,Female,25-34,5e-06,-0.00010998796500000005,-9.046866332564981e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,Female,35-44,5e-06,-0.0046419156,-2.872644991887227e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,Female,45-54,5e-06,-0.0007109143399999999,-2.854452625803336e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,Male,25-34,5e-06,-0.0020407642150000005,-4.718550520302034e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,Male,45-54,5e-06,-0.00012762636,-7.673407665680525e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,Male,55-64,5e-06,-0.00021238790000000012,-7.751955922787391e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Folgosa,Female,15-24,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Folgosa,Female,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Folgosa,Female,35-44,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Folgosa,Female,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Folgosa,Male,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Folgosa,Male,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Folgosa,Male,55-64,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Águas Santas,Female,15-24,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Águas Santas,Female,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Águas Santas,Female,35-44,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Águas Santas,Female,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Águas Santas,Male,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Águas Santas,Male,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Águas Santas,Male,55-64,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Moreira,Female,15-24,2e-06,-0.00029826266600000003,-7.752206099692926e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Moreira,Female,25-34,2e-06,-4.399518600000002e-05,-3.6187465330259917e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Moreira,Female,35-44,2e-06,-0.0018567662399999998,-1.1490579967548906e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Moreira,Female,45-54,2e-06,-0.00028436573599999995,-1.1417810503213343e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Moreira,Male,25-34,2e-06,-0.000816305686,-1.8874202081208135e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Moreira,Male,45-54,2e-06,-5.1050544e-05,-3.06936306627221e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Moreira,Male,55-64,2e-06,-8.495516000000003e-05,-3.100782369114956e-07
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Mafamude e Vilar do Paraíso,Female,15-24,7.8e-05,-0.011632243974000001,-3.0233603788802413e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Mafamude e Vilar do Paraíso,Female,25-34,7.8e-05,-0.0017158122540000007,-1.411311147880137e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Mafamude e Vilar do Paraíso,Female,35-44,7.8e-05,-0.07241388336,-4.481326187344073e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Mafamude e Vilar do Paraíso,Female,45-54,7.8e-05,-0.011090263703999998,-4.452946096253204e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Mafamude e Vilar do Paraíso,Male,25-34,7.8e-05,-0.031835921754,-7.360938811671172e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Mafamude e Vilar do Paraíso,Male,45-54,7.8e-05,-0.0019909712160000002,-1.1970515958461618e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Mafamude e Vilar do Paraíso,Male,55-64,7.8e-05,-0.0033132512400000013,-1.2093051239548328e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Vila Nova da Telha,Female,15-24,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Vila Nova da Telha,Female,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Vila Nova da Telha,Female,35-44,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Vila Nova da Telha,Female,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Vila Nova da Telha,Male,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Vila Nova da Telha,Male,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Vila Nova da Telha,Male,55-64,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Pedrouços,Female,15-24,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Pedrouços,Female,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Pedrouços,Female,35-44,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Pedrouços,Female,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Pedrouços,Male,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Pedrouços,Male,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Pedrouços,Male,55-64,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",Female,15-24,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",Female,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",Female,35-44,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",Female,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",Male,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",Male,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",Male,55-64,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA DO CONDE,Aveleda,Female,15-24,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA DO CONDE,Aveleda,Female,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA DO CONDE,Aveleda,Female,35-44,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA DO CONDE,Aveleda,Female,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA DO CONDE,Aveleda,Male,25-34,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA DO CONDE,Aveleda,Male,45-54,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA DO CONDE,Aveleda,Male,55-64,0.0,-0.0,-0.0
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,15-24,0.067301,-60.374515412796,-0.0625130870583393
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,25-34,0.067301,-4.207681536941998,-0.009112957234525682
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,35-44,0.067301,-27.259225605781,-0.04168530117929981
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,45-54,0.067301,-43.931183108565996,-0.02547037128987563
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,55-64,0.067301,-29.245908255044,-0.035825724825394825
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,25-34,0.067301,-56.771821611037,-0.04037930834225085
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,35-44,0.067301,-55.704574063411,-0.03308204747024929
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,45-54,0.067301,-16.452569837587,-0.008063402842843192
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,55-64,0.067301,-55.717578299136,-0.027426893267283464
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,65+,0.067301,-92.35790664906003,-0.01697409448402106
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,15-24,0.17016,-152.64747243936,-0.15805451470033158
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,25-34,0.17016,-10.638461394719995,-0.023040679975437066
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,35-44,0.17016,-68.92066728696001,-0.10539473185643092
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,45-54,0.17016,-111.07309130256,-0.06439783032473867
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,55-64,0.17016,-73.94368209504,-0.09057971406500918
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,25-34,0.17016,-143.53862743992,-0.1020927342464065
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,35-44,0.17016,-140.84025976776002,-0.08364275712898202
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,45-54,0.17016,-41.597736787920006,-0.020387046667036113
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,55-64,0.17016,-140.87313893376,-0.06934458861474502
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,65+,0.17016,-233.51244996960008,-0.042916329882186355
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,15-24,0.023105,-20.727079517580002,-0.02146126917108111
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,25-34,0.023105,-1.4445325019099993,-0.003128554953176266
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,35-44,0.023105,-9.358321683505,-0.014310914900933452
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,45-54,0.023105,-15.08194507843,-0.008744192934021433
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,55-64,0.023105,-10.040366565620001,-0.01229927299877784
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,25-34,0.023105,-19.490244399385,-0.013862556563018467
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,35-44,0.023105,-19.123849329655002,-0.01135734545995022
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,45-54,0.023105,-5.648305762135,-0.0027682340928647706
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,55-64,0.023105,-19.12831379328,-0.009415883403524233
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,65+,0.023105,-31.70724704130001,-0.005827349564691559
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,15-24,0.090845,-81.49541392662,-0.08438212498796205
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,25-34,0.090845,-5.679660468989997,-0.01230095540884215
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,35-44,0.090845,-36.795357426445,-0.056268126560281295
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,45-54,0.090845,-59.29968840727,-0.03438070578191634
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,55-64,0.090845,-39.47704395818,-0.048358686672753635
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,25-34,0.090845,-76.632384871765,-0.0545052564798707
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,35-44,0.090845,-75.191780668795,-0.04465518495170646
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,45-54,0.090845,-22.208194631515,-0.010884233982527596
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,55-64,0.090845,-75.20933419392,-0.037021680493103615
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,65+,0.090845,-124.66759824570003,-0.022912164951499874
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,15-24,0.024883,-22.322091306468,-0.023112779086085746
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,25-34,0.024883,-1.5556936699859991,-0.0033693067690926215
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,35-44,0.024883,-10.078472990723,-0.015412183314430948
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,45-54,0.024883,-16.242546608378,-0.00941708516672821
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,55-64,0.024883,-10.813003300252,-0.013245739451572775
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,25-34,0.024883,-20.990077965370997,-0.014929322439194481
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,35-44,0.024883,-20.595487681013,-0.012231327724732365
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,45-54,0.024883,-6.082960064021,-0.0029812581230363165
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,55-64,0.024883,-20.600295698688,-0.010140464260112248
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,65+,0.024883,-34.14721610598001,-0.006275781831561136
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,15-24,0.104564,-93.80248182974401,-0.0971251309069433
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,25-34,0.104564,-6.537377040887997,-0.014158589920966158
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,35-44,0.104564,-42.352025471284,-0.06476548390829714
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,45-54,0.104564,-68.254858480024,-0.03957272408366229
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,55-64,0.104564,-45.438688144016005,-0.05566159627111907
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,25-34,0.104564,-88.205060176468,-0.06273639318136606
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,35-44,0.104564,-86.54690245860401,-0.051398808512193674
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,45-54,0.104564,-25.561975490668,-0.012527921648401294
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,55-64,0.104564,-86.567106837504,-0.04261252682129876
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,65+,0.104564,-143.49433367784005,-0.026372256216507604
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,15-24,0.001192,-1.069321739232,-0.0011071989981358442
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,25-34,0.001192,-0.07452424766399995,-0.00016140391708228128
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,35-44,0.001192,-0.482801101352,-0.000738308182727231
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,45-54,0.001192,-0.778086065072,-0.0004511178522983574
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,55-64,0.001192,-0.517988182048,-0.0006345264407939054
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,25-34,0.001192,-1.005512716904,-0.0007151771228356637
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,35-44,0.001192,-0.986610188312,-0.0005859318670530475
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,45-54,0.001192,-0.291399284504,-0.00014281476038497323
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,55-64,0.001192,-0.986840512512,-0.0004857707429993891
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,65+,0.001192,-1.6357947835200004,-0.00030063625540412625
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,15-24,0.01888,-16.936908084480002,-0.017536843191950285
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,25-34,0.01888,-1.1803840569599995,-0.002556464726940831
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,35-44,0.01888,-7.647051001280001,-0.011694008800243393
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,45-54,0.01888,-12.32404774208,-0.007145222358551164
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,55-64,0.01888,-8.204376574720001,-0.010050217451500785
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,25-34,0.01888,-15.92624169056,-0.011327637650282997
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,35-44,0.01888,-15.626845935680002,-0.009280531585538201
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,45-54,0.01888,-4.6154517545600005,-0.0022620324463660194
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,55-64,0.01888,-15.63049402368,-0.007694086936097708
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,65+,0.01888,-25.90923281280001,-0.004761755454723075
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,15-24,0.079119,-70.976230441524,-0.07349033350126666
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,25-34,0.079119,-4.946546938697997,-0.010713184996336418
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,35-44,0.079119,-32.045923102239,-0.04900520562851996
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,45-54,0.079119,-51.64546256915399,-0.02994294744630347
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,55-64,0.079119,-34.381465583436,-0.04211669250769547
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,25-34,0.079119,-66.740906584503,-0.04746988152821718
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,35-44,0.079119,-65.486251249209,-0.038891227675646026
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,45-54,0.079119,-19.341627508953,-0.009479329720552598
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,55-64,0.079119,-65.501539017984,-0.03224303306658445
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,65+,0.079119,-108.57587875614003,-0.01995473145244888
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,15-24,0.041929,-37.613751010284,-0.03894609630271628
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,25-34,0.041929,-2.621415419717999,-0.005677436945757527
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,35-44,0.041929,-16.982690753849003,-0.02597023808185409
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,45-54,0.041929,-27.369438441614,-0.01586822183642435
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,55-64,0.041929,-18.220408125076002,-0.02231968048326146
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,25-34,0.041929,-35.369247237473,-0.025156595288067574
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,35-44,0.041929,-34.704344451119006,-0.020610350045022843
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,45-54,0.041929,-10.250067617423001,-0.005023557120957671
