County_of_Origin,Parish_of_Public_Transportation,GenderDescription,AgeClassDescription,Parish_variation_abs,Parish_variation_rel
Lisboa,Alcântara,Male,65+,-20.444772523560005,-0.004966234512509669
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,15-24,-5.152229812142,-0.0019646057042186833
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,25-34,-2.029472646842,-0.001348317357741078
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,35-44,-1.353998377656,-0.001325809720683038
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,45-54,-1.145359738504,-0.0009406303771254016
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,55-64,-3.2113130446500002,-0.0013338377445488408
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,65+,0.7130541382440014,0.00014389135285704805
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,15-24,-3.9102148220280006,-0.0012770610881475827
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,25-34,-5.353272918568,-0.0018335672398078586
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,35-44,-0.5708306602700001,-0.00044261541290739484
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,45-54,-0.40761223985399997,-0.00039129558228198413
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,55-64,-1.8343632755940003,-0.0010696163016647984
Lisboa,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,65+,-2.443627833680001,-0.000593581017806194
Lisboa,Avenidas Novas,Female,15-24,-93.824097022551,-0.03577622950150164
Lisboa,Avenidas Novas,Female,25-34,-36.957481607900995,-0.024553380420213662
Lisboa,Avenidas Novas,Female,35-44,-24.656833989468,-0.02414350764666128
Lisboa,Avenidas Novas,Female,45-54,-20.857443699012,-0.017129242868357528
Lisboa,Avenidas Novas,Female,55-64,-58.479252218324994,-0.02428970106534562
Lisboa,Avenidas Novas,Female,65+,12.984991564482025,0.002620317172062066
Lisboa,Avenidas Novas,Male,15-24,-71.20652381933401,-0.023255776199212177
Lisboa,Avenidas Novas,Male,25-34,-97.485169725204,-0.03338996839769891
Lisboa,Avenidas Novas,Male,35-44,-10.395047038935,-0.008060197809195731
Lisboa,Avenidas Novas,Male,45-54,-7.422776493686999,-0.007125643850357935
Lisboa,Avenidas Novas,Male,55-64,-33.404464517157,-0.01947812642747356
Lisboa,Avenidas Novas,Male,65+,-44.49940769604001,-0.01080933984624403
Lisboa,Parque das Nações,Female,15-24,-33.485587615305,-0.012768447611383368
Lisboa,Parque das Nações,Female,25-34,-13.190033559555,-0.008763040598358902
Lisboa,Parque das Nações,Female,35-44,-8.79996292074,-0.008616758021649237
Lisboa,Parque das Nações,Female,45-54,-7.44396994566,-0.006113384312287721
Lisboa,Parque das Nações,Female,55-64,-20.871100132875,-0.008668934090329747
Lisboa,Parque das Nações,Female,65+,4.634311296510009,0.00093518470232528
Lisboa,Parque das Nações,Male,15-24,-25.413431813370003,-0.008299928868950078
Lisboa,Parque das Nações,Male,25-34,-34.79221538622,-0.011916796939539703
Lisboa,Parque das Nações,Male,35-44,-3.709966516425,-0.002876664614972435
Lisboa,Parque das Nações,Male,45-54,-2.649170527785,-0.0025431246240426907
Lisboa,Parque das Nações,Male,55-64,-11.921970568635002,-0.0069516950311004425
Lisboa,Parque das Nações,Male,65+,-15.881728282200005,-0.003857826592224108
Lisboa,Santa Maria Maior,Female,15-24,-28.507182084164,-0.010870123145858947
Lisboa,Santa Maria Maior,Female,25-34,-11.229030611564,-0.007460212340253515
Lisboa,Santa Maria Maior,Female,35-44,-7.491645307152,-0.007335678045143905
Lisboa,Santa Maria Maior,Female,45-54,-6.337251987568,-0.005204488621881107
Lisboa,Santa Maria Maior,Female,55-64,-17.7681293403,-0.007380096936859317
Lisboa,Santa Maria Maior,Female,65+,3.9453139506480075,0.0007961479098944174
Lisboa,Santa Maria Maior,Male,15-24,-21.635138567976,-0.007065952859212326
Lisboa,Santa Maria Maior,Male,25-34,-29.619549476655997,-0.010145090004638174
Lisboa,Santa Maria Maior,Male,35-44,-3.15839435834,-0.0024489820192556233
Lisboa,Santa Maria Maior,Male,45-54,-2.2553101792679997,-0.0021650304469248826
Lisboa,Santa Maria Maior,Male,55-64,-10.149494454348002,-0.005918165102008869
Lisboa,Santa Maria Maior,Male,65+,-13.520542782560003,-0.003284271620886735
Lisboa,Águas Livres,Female,15-24,-0.404287934463,-0.0001541597349405866
Lisboa,Águas Livres,Female,25-34,-0.15924974901299999,-0.00010580049016391324
Lisboa,Águas Livres,Female,35-44,-0.106246271484,-0.0001040343488178123
Lisboa,Águas Livres,Female,45-54,-0.08987470275599999,-7.38098893347074e-05
Lisboa,Águas Livres,Female,55-64,-0.251987035725,-0.00010466429610371872
Lisboa,Águas Livres,Female,65+,0.0559523148660001,1.1290943912588681e-05
Lisboa,Águas Livres,Male,15-24,-0.306828835542,-0.00010020911495320303
Lisboa,Águas Livres,Male,25-34,-0.42006349285199995,-0.0001438773383776447
Lisboa,Águas Livres,Male,35-44,-0.044792246655,-3.47313838028168e-05
Lisboa,Águas Livres,Male,45-54,-0.031984736030999994,-3.0704391786342195e-05
Lisboa,Águas Livres,Male,55-64,-0.14393980214100002,-8.393122609727567e-05
Lisboa,Águas Livres,Male,65+,-0.19174790052000004,-4.6577433921865865e-05
Lisboa,Arroios,Female,15-24,-91.82218816832601,-0.03501287815698907
Lisboa,Arroios,Female,25-34,-36.168926087426,-0.024029489104184624
Lisboa,Arroios,Female,35-44,-24.130735302168002,-0.02362836171652477
Lisboa,Arroios,Female,45-54,-20.412411958312,-0.016763759116820934
Lisboa,Arroios,Female,55-64,-57.23149032645,-0.023771435831015614
Lisboa,Arroios,Female,65+,12.707933000532025,0.0025644079087267842
Lisboa,Arroios,Male,15-24,-69.687202290684,-0.022759571644492212
Lisboa,Arroios,Male,25-34,-95.405145183304,-0.032677532301867575
Lisboa,Arroios,Male,35-44,-10.17324968231,-0.007888218734809802
Lisboa,Arroios,Male,45-54,-7.264397969861999,-0.006973605195377256
Lisboa,Arroios,Male,55-64,-32.691719120082006,-0.019062524945590912
Lisboa,Arroios,Male,65+,-43.54993137704001,-0.010578702794215468
Lisboa,Campo de Ourique,Female,15-24,-118.159496362691,-0.0450556029186983
Lisboa,Campo de Ourique,Female,25-34,-46.543239447040996,-0.030921854369210564
Lisboa,Campo de Ourique,Female,35-44,-31.052140958988,-0.030405671831540224
Lisboa,Campo de Ourique,Female,45-54,-26.267292956691996,-0.021572099008987742
Lisboa,Campo de Ourique,Female,55-64,-73.64716750882499,-0.030589783816323088
Lisboa,Campo de Ourique,Female,65+,16.35294249796203,0.003299955631728032
Lisboa,Campo de Ourique,Male,15-24,-89.675544548094,-0.029287687176588553
Lisboa,Campo de Ourique,Male,25-34,-122.77015098576399,-0.042050411084585154
Lisboa,Campo de Ourique,Male,35-44,-13.091237344835,-0.01015079221587736
Lisboa,Campo de Ourique,Male,45-54,-9.348041280866997,-0.00897384057334259
Lisboa,Campo de Ourique,Male,55-64,-42.068667100137006,-0.02453021858772503
Lisboa,Campo de Ourique,Male,65+,-56.04133446164001,-0.013612986351879047
Lisboa,Misericórdia,Female,15-24,-79.974793914932,-0.03049532766351275
Lisboa,Misericórdia,Female,25-34,-31.502216051132,-0.020929074740250818
Lisboa,Misericórdia,Female,35-44,-21.017257607376,-0.02057970297290714
Lisboa,Misericórdia,Female,45-54,-17.778692407984,-0.014600808446751682
Lisboa,Misericórdia,Female,55-64,-49.8471745839,-0.020704316893019683
Lisboa,Misericórdia,Female,65+,11.06828690402402,0.002233534161027446
Lisboa,Misericórdia,Male,15-24,-60.695783370888,-0.019823008884559217
Lisboa,Misericórdia,Male,25-34,-83.095458479728,-0.028461300733757463
Lisboa,Misericórdia,Male,35-44,-8.86064210642,-0.006870438183370736
Lisboa,Misericórdia,Male,45-54,-6.327106140083999,-0.006073833018681836
Lisboa,Misericórdia,Male,55-64,-28.473657092124004,-0.0166029751025664
Lisboa,Misericórdia,Male,65+,-37.93088420528001,-0.009213781469722529
Lisboa,Areeiro,Female,15-24,-58.555345715629,-0.02232784064373781
Lisboa,Areeiro,Female,25-34,-23.065056643279,-0.015323693215479628
Lisboa,Areeiro,Female,35-44,-15.388258286772,-0.01506789281114411
Lisboa,Areeiro,Female,45-54,-13.017069871148,-0.010690310590066969
Lisboa,Areeiro,Female,55-64,-36.496731005175,-0.015159131697998025
Lisboa,Areeiro,Female,65+,8.103895420278016,0.0016353323161513106
Lisboa,Areeiro,Male,15-24,-44.439784146786,-0.014513862200057875
Lisboa,Areeiro,Male,25-34,-60.840210527516,-0.020838582038165052
Lisboa,Areeiro,Male,35-44,-6.4875185843650005,-0.005030345979672708
Lisboa,Areeiro,Male,45-54,-4.632533192973,-0.004447093575586113
Lisboa,Areeiro,Male,55-64,-20.847629024103004,-0.012156241978852282
Lisboa,Areeiro,Male,65+,-27.771950751160006,-0.006746077518895945
Lisboa,Marvila,Female,15-24,-90.443312411172,-0.0344870966455492
Lisboa,Marvila,Female,25-34,-35.625784431372,-0.023668642987973405
Lisboa,Marvila,Female,35-44,-23.768368791696002,-0.02327353925147465
Lisboa,Marvila,Female,45-54,-20.105882778864,-0.016512021040152803
Lisboa,Marvila,Female,55-64,-56.3720562819,-0.023414464850101485
Lisboa,Marvila,Female,65+,12.517100467704024,0.002525898699053897
Lisboa,Marvila,Male,15-24,-68.640723267048,-0.02241779562924119
Lisboa,Marvila,Male,25-34,-93.972464864688,-0.03218682022025107
Lisboa,Marvila,Male,35-44,-10.02047999082,-0.007769762904062031
Lisboa,Marvila,Male,45-54,-7.155309932963999,-0.006868883936434466
Lisboa,Marvila,Male,55-64,-32.200793997804006,-0.018776266754167353
Lisboa,Marvila,Male,65+,-42.895950614880014,-0.010419844493013355
Lisboa,Ajuda,Female,15-24,-11.437247073504,-0.004361156559478624
Lisboa,Ajuda,Female,25-34,-4.505152319904,-0.0029930805333327343
Lisboa,Ajuda,Female,35-44,-3.0056916222720003,-0.0029431166506140526
Lisboa,Ajuda,Female,45-54,-2.542542315648,-0.002088071072193461
Lisboa,Ajuda,Female,55-64,-7.1286767208,-0.002960937768035637
Lisboa,Ajuda,Female,65+,1.5828828785280031,0.00031941916691845083
Lisboa,Ajuda,Male,15-24,-8.680143289536002,-0.002834901338965976
Lisboa,Ajuda,Male,25-34,-11.883535334016,-0.004070269050915398
Lisboa,Ajuda,Male,35-44,-1.26716616624,-0.000982545814247803
Lisboa,Ajuda,Male,45-54,-0.904843546848,-0.0008686227937237676
Lisboa,Ajuda,Male,55-64,-4.072036141728001,-0.002374402222346118
Lisboa,Ajuda,Male,65+,-5.4245203161600015,-0.001317668855296843
Lisboa,Santa Clara,Female,15-24,-4.923719240489,-0.0018774719409913952
Lisboa,Santa Clara,Female,25-34,-1.939461919139,-0.0012885170806919094
Lisboa,Santa Clara,Female,35-44,-1.293946137252,-0.0012670076974381874
Lisboa,Santa Clara,Female,45-54,-1.0945609934679998,-0.0008989117440231755
Lisboa,Santa Clara,Female,55-64,-3.068885589675,-0.0012746796641423907
Lisboa,Santa Clara,Female,65+,0.6814289167980012,0.00013750951499341094
Lisboa,Santa Clara,Male,15-24,-3.736789828026,-0.0012204211536088157
Lisboa,Santa Clara,Male,25-34,-5.115845726956,-0.0017522452659422332
Lisboa,Santa Clara,Male,35-44,-0.5455133034649999,-0.00042298463075797656
Lisboa,Santa Clara,Male,45-54,-0.3895339107929999,-0.0003739409260549211
Lisboa,Santa Clara,Male,55-64,-1.753005996123,-0.0010221769130011207
Lisboa,Santa Clara,Male,65+,-2.3352485855600005,-0.0005672546421112263
Lisboa,Penha de França,Female,15-24,-33.981670394791,-0.012957609798218679
Lisboa,Penha de França,Female,25-34,-13.385441464141001,-0.008892863422038292
Lisboa,Penha de França,Female,35-44,-8.930332741788002,-0.008744413696044041
Lisboa,Penha de França,Female,45-54,-7.554250981892,-0.006203952968766058
Lisboa,Penha de França,Female,55-64,-21.180301616325,-0.008797362743519818
Lisboa,Penha de França,Female,65+,4.702967760162009,0.0009490392905078768
Lisboa,Penha de França,Male,15-24,-25.789927099494005,-0.00842289077811971
Lisboa,Penha de França,Male,25-34,-35.307655614164005,-0.012093342079384737
Lisboa,Penha de França,Male,35-44,-3.7649289833350004,-0.0029192818685275825
Lisboa,Penha de França,Male,45-54,-2.688417498567,-0.0025808005443988787
Lisboa,Penha de França,Male,55-64,-12.098592354837002,-0.007054683105635264
Lisboa,Penha de França,Male,65+,-16.117013145640005,-0.003914979578775576
Lisboa,Falagueira-Venda Nova,Female,15-24,-0.154293462911,-5.883390850389537e-05
Lisboa,Falagueira-Venda Nova,Female,25-34,-0.060776474260999996,-4.0377964845164955e-05
Lisboa,Falagueira-Venda Nova,Female,35-44,-0.040548093948,-3.970393022515542e-05
Lisboa,Falagueira-Venda Nova,Female,45-54,-0.034300007332,-2.8168991581844847e-05
Lisboa,Falagueira-Venda Nova,Female,55-64,-0.096168965325,-3.994434488982502e-05
Lisboa,Falagueira-Venda Nova,Female,65+,0.02135378200200004,4.309104198524183e-06
Lisboa,Falagueira-Venda Nova,Male,15-24,-0.117098927574,-3.82440583637828e-05
Lisboa,Falagueira-Venda Nova,Male,25-34,-0.160314086644,-5.490970884943928e-05
Lisboa,Falagueira-Venda Nova,Male,35-44,-0.017094625534999998,-1.3254972562427667e-05
Lisboa,Falagueira-Venda Nova,Male,45-54,-0.012206735006999998,-1.1718101213145089e-05
Lisboa,Falagueira-Venda Nova,Male,55-64,-0.054933547677000004,-3.203172396949168e-05
Lisboa,Falagueira-Venda Nova,Male,65+,-0.07317915044000001,-1.777592888805509e-05
Lisboa,Beato,Female,15-24,-8.880662985523,-0.0033863010375596485
Lisboa,Beato,Female,25-34,-3.498109221073,-0.002324032989252722
Lisboa,Beato,Female,35-44,-2.333825103564,-0.0022852376042250848
Lisboa,Beato,Female,45-54,-1.9742042194759999,-0.0016213215787677028
Lisboa,Beato,Female,55-64,-5.535193485224999,-0.002299075141949802
Lisboa,Beato,Female,65+,1.2290588197860024,0.0002480189467175881
Lisboa,Beato,Male,15-24,-6.739858527582,-0.002201211814938233
Lisboa,Beato,Male,25-34,-9.227191797091999,-0.0031604360270683597
Lisboa,Beato,Male,35-44,-0.983914712755,-0.0007629159524222608
Lisboa,Beato,Male,45-54,-0.7025825832509999,-0.0006744583065338065
Lisboa,Beato,Male,55-64,-3.161808117561,-0.0018436487201174518
Lisboa,Beato,Male,65+,-4.211969582920001,-0.0010231284639745126
Lisboa,União das freguesias de Carnaxide e Queijas,Female,15-24,-0.173824281001,-6.628123869426186e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Female,25-34,-0.06846969885099999,-4.5489099635692164e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Female,35-44,-0.045680764068,-4.472974417770674e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Female,45-54,-0.038641780412,-3.1734686718787234e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Female,55-64,-0.10834225207499999,-4.500059107841047e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Female,65+,0.024056792382000043,4.854560426185472e-06
Lisboa,União das freguesias de Carnaxide e Queijas,Male,15-24,-0.131921576634,-4.308507840983125e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Male,25-34,-0.18060700900399998,-6.186030490633033e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Male,35-44,-0.019258502184999998,-1.4932817190583069e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Male,45-54,-0.013751891336999998,-1.3201405164176113e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Male,55-64,-0.061887161307000005,-3.608637257322481e-05
Lisboa,União das freguesias de Carnaxide e Queijas,Male,65+,-0.08244233404000001,-2.0026046468821556e-05
Lisboa,União das freguesias de Moscavide e Portela,Female,15-24,-2.029251999551,-0.0007737776067790796
Lisboa,União das freguesias de Moscavide e Portela,Female,25-34,-0.799326034901,-0.000531046904735777
Lisboa,União das freguesias de Moscavide e Portela,Female,35-44,-0.533284425468,-0.000522182069670082
Lisboa,União das freguesias de Moscavide e Portela,Female,45-54,-0.451110223012,-0.0003704757247283139
Lisboa,União das freguesias de Moscavide e Portela,Female,55-64,-1.264804493325,-0.0005253439789940278
Lisboa,União das freguesias de Moscavide e Portela,Female,65+,0.2808427784820005,5.667290205400793e-05
Lisboa,União das freguesias de Moscavide e Portela,Male,15-24,-1.540073237334,-0.0005029819827844346
Lisboa,União das freguesias de Moscavide e Portela,Male,25-34,-2.108434633204,-0.0007221669303109799
Lisboa,União das freguesias de Moscavide e Portela,Male,35-44,-0.224826783935,-0.00017432805686534616
Lisboa,União das freguesias de Moscavide e Portela,Male,45-54,-0.16054174268699997,-0.00015411528051212337
Lisboa,União das freguesias de Moscavide e Portela,Male,55-64,-0.7224804561570001,-0.0004212779899278717
Lisboa,União das freguesias de Moscavide e Portela,Male,65+,-0.9624447760400002,-0.00023378721664163592
Lisboa,São Vicente,Female,15-24,-18.333578941083,-0.006990808849697035
Lisboa,São Vicente,Female,25-34,-7.221629922632999,-0.004797822227867891
Lisboa,São Vicente,Female,35-44,-4.818037441644,-0.004717731557259923
Lisboa,São Vicente,Female,45-54,-4.075622390196,-0.0033471180250478176
Lisboa,São Vicente,Female,55-64,-11.427064272225,-0.004746298297225158
Lisboa,São Vicente,Female,65+,2.5373158437060046,0.0005120197609056519
Lisboa,São Vicente,Male,15-24,-13.914020672622,-0.0045442655172256855
Lisboa,São Vicente,Male,25-34,-19.048966219331998,-0.006524524518603627
Lisboa,São Vicente,Male,35-44,-2.031231011355,-0.0015749927524494748
Lisboa,São Vicente,Male,45-54,-1.4504382469709998,-0.0013923774188328221
Lisboa,São Vicente,Male,55-64,-6.527357114481001,-0.003806098644324284
Lisboa,São Vicente,Male,65+,-8.69535044532,-0.0021121853730654825
Lisboa,Encosta do Sol,Female,15-24,-0.064451699697,-2.457618962820946e-05
Lisboa,Encosta do Sol,Female,25-34,-0.025387641147,-1.6866744808739793e-05
Lisboa,Encosta do Sol,Female,35-44,-0.016937811396,-1.6585186043419353e-05
Lisboa,Encosta do Sol,Female,45-54,-0.014327851164,-1.1766793951909875e-05
Lisboa,Encosta do Sol,Female,55-64,-0.040171846275,-1.6685612422331974e-05
Lisboa,Encosta do Sol,Female,65+,0.008919934254000018,1.8000055512822539e-06
Lisboa,Encosta do Sol,Male,15-24,-0.048914741898000005,-1.5975366151959906e-05
Lisboa,Encosta do Sol,Male,25-34,-0.066966643788,-2.2936966987740462e-05
Lisboa,Encosta do Sol,Male,35-44,-0.007140792945,-5.5368872729128236e-06
Lisboa,Encosta do Sol,Male,45-54,-0.005099015889,-4.894903038402379e-06
Lisboa,Encosta do Sol,Male,55-64,-0.022946924979000007,-1.3380340392319312e-05
Lisboa,Encosta do Sol,Male,65+,-0.03056850588000001,-7.425388016529341e-06
Lisboa,União das freguesias de Pontinha e Famões,Female,15-24,-0.15819962652900002,-6.032337454196867e-05
Lisboa,União das freguesias de Pontinha e Famões,Female,25-34,-0.062315119179000004,-4.14001918032704e-05
Lisboa,União das freguesias de Pontinha e Famões,Female,35-44,-0.041574627972000004,-4.0709093015665685e-05
Lisboa,União das freguesias de Pontinha e Famões,Female,45-54,-0.035168361948,-2.888213060923333e-05
Lisboa,União das freguesias de Pontinha e Famões,Female,55-64,-0.098603622675,-4.0955594127542116e-05
Lisboa,União das freguesias de Pontinha e Famões,Female,65+,0.021894384078000043,4.418195444056441e-06
Lisboa,União das freguesias de Pontinha e Famões,Male,15-24,-0.12006345738600001,-3.9212262372992497e-05
Lisboa,União das freguesias de Pontinha e Famões,Male,25-34,-0.164372671116,-5.62998280608175e-05
Lisboa,União das freguesias de Pontinha e Famões,Male,35-44,-0.017527400865,-1.359054148805875e-05
Lisboa,União das freguesias de Pontinha e Famões,Male,45-54,-0.012515766272999999,-1.2014762003351294e-05
Lisboa,União das freguesias de Pontinha e Famões,Male,55-64,-0.05632427040300001,-3.2842653690238314e-05
Lisboa,União das freguesias de Pontinha e Famões,Male,65+,-0.07503178716000002,-1.8225952404208385e-05
Lisboa,União das freguesias de Sacavém e Prior Velho,Female,15-24,-0.677719387723,-0.0002584223576057176
Lisboa,União das freguesias de Sacavém e Prior Velho,Female,25-34,-0.266954893273,-0.00017735637723129418
Lisboa,União das freguesias de Sacavém e Prior Velho,Female,35-44,-0.178103653164,-0.00017439574415353075
Lisboa,União das freguesias de Sacavém e Prior Velho,Female,45-54,-0.15065952587599998,-0.0001237296212519008
Lisboa,União das freguesias de Sacavém e Prior Velho,Female,55-64,-0.422413050225,-0.00017545174274391495
Lisboa,União das freguesias de Sacavém e Prior Velho,Female,65+,0.09379446018600017,1.8927331099846725e-05
Lisboa,União das freguesias de Sacavém e Prior Velho,Male,15-24,-0.514345922382,-0.0001679833955978814
Lisboa,União das freguesias de Sacavém e Prior Velho,Male,25-34,-0.7041644058919999,-0.00024118568317411937
Lisboa,União das freguesias de Sacavém e Prior Velho,Male,35-44,-0.075086519755,-5.822120859699241e-05
Lisboa,União das freguesias de Sacavém e Prior Velho,Male,45-54,-0.053616924650999986,-5.147064710077653e-05
Lisboa,União das freguesias de Sacavém e Prior Velho,Male,55-64,-0.24129039296100002,-0.0001406963065495394
Lisboa,União das freguesias de Sacavém e Prior Velho,Male,65+,-0.32143247092000005,-7.80790800525964e-05
Lisboa,Venteira,Female,15-24,-0.031249308944,-1.1915728304586404e-05
Lisboa,Venteira,Female,25-34,-0.012309159343999999,-8.177815664843535e-06
Lisboa,Venteira,Female,35-44,-0.008212272192,-8.04130232408211e-06
Lisboa,Venteira,Female,45-54,-0.006946836927999999,-5.705112219107817e-06
Lisboa,Venteira,Female,55-64,-0.019477258799999998,-8.089993901736713e-06
Lisboa,Venteira,Female,65+,0.004324816608000008,8.727299642580623e-07
Lisboa,Venteira,Male,15-24,-0.023716238496000002,-7.74563207367753e-06
Lisboa,Venteira,Male,25-34,-0.032468675775999996,-1.1120953691025678e-05
Lisboa,Venteira,Male,35-44,-0.0034622026399999998,-2.6845514050486416e-06
Lisboa,Venteira,Male,45-54,-0.0024722501279999995,-2.3732863216496383e-06
Lisboa,Venteira,Male,55-64,-0.011125781808000001,-6.487437765972999e-06
Lisboa,Venteira,Male,65+,-0.014821093760000003,-3.600188129226347e-06
Lisboa,Odivelas,Female,15-24,-0.064451699697,-2.457618962820946e-05
Lisboa,Odivelas,Female,25-34,-0.025387641147,-1.6866744808739793e-05
Lisboa,Odivelas,Female,35-44,-0.016937811396,-1.6585186043419353e-05
Lisboa,Odivelas,Female,45-54,-0.014327851164,-1.1766793951909875e-05
Lisboa,Odivelas,Female,55-64,-0.040171846275,-1.6685612422331974e-05
Lisboa,Odivelas,Female,65+,0.008919934254000018,1.8000055512822539e-06
Lisboa,Odivelas,Male,15-24,-0.048914741898000005,-1.5975366151959906e-05
Lisboa,Odivelas,Male,25-34,-0.066966643788,-2.2936966987740462e-05
Lisboa,Odivelas,Male,35-44,-0.007140792945,-5.5368872729128236e-06
Lisboa,Odivelas,Male,45-54,-0.005099015889,-4.894903038402379e-06
Lisboa,Odivelas,Male,55-64,-0.022946924979000007,-1.3380340392319312e-05
Lisboa,Odivelas,Male,65+,-0.03056850588000001,-7.425388016529341e-06
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Female,15-24,-0.11718490854000001,-4.468398114219901e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Female,25-34,-0.04615934754,-3.066680874316326e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Female,35-44,-0.03079602072,-3.0154883715307914e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Female,45-54,-0.02605063848,-2.1394170821654316e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Female,55-64,-0.0730397205,-3.0337477131512676e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Female,65+,0.016218062280000032,3.272737365967734e-06
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Male,15-24,-0.08893589436,-2.9046120276290737e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Male,25-34,-0.12175753416,-4.1703576341346295e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Male,35-44,-0.0129832599,-1.0067067768932407e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Male,45-54,-0.00927093798,-8.899823706186144e-06
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Male,55-64,-0.041721681780000006,-2.432789162239875e-05
Lisboa,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Male,65+,-0.055579101600000014,-1.3500705484598802e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Female,15-24,-0.066404781506,-2.532092264724611e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Female,25-34,-0.026156963606,-1.7377858287792512e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Female,35-44,-0.017451078408,-1.7087767438674483e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Female,45-54,-0.014762028472,-1.2123363465604113e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Female,55-64,-0.041389174949999996,-1.7191237041190514e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Female,65+,0.009190235292000018,1.8545511740483824e-06
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Male,15-24,-0.05039700680400001,-1.645946815656475e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Male,25-34,-0.068995936024,-2.3632026593429566e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Male,35-44,-0.00735718061,-5.704671735728363e-06
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Male,45-54,-0.005253531521999999,-5.043233433505481e-06
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Male,55-64,-0.023642286342000003,-1.3785805252692623e-05
Lisboa,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Male,65+,-0.031494824240000004,-7.650399774605988e-06
Lisboa,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Female,15-24,-1.0488049314330001,-0.0003999216312226812
Lisboa,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Female,25-34,-0.41312616048300005,-0.0002744679382513112
Lisboa,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Female,35-44,-0.27562438544400003,-0.00026988620925200586
Lisboa,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Female,45-54,-0.233153214396,-0.00019147782885380616
Lisboa,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Female,55-64,-0.653705498475,-0.00027152042032703845
Lisboa,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Female,65+,0.14515165740600028,2.929099942541122e-05
