,Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight
568,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.040948
569,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.060499
570,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.009284
571,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.02828
572,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.017579
573,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.046869
574,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.059911
575,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.014718
576,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,5.8e-05
577,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.064962
578,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.034305
579,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.013677
580,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.051517
581,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.022496
582,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.048959
583,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.060559
584,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.066261
585,R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.002214
586,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.000719
587,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.000293
588,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.001089
589,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,4.7e-05
590,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.000188
591,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,3.6e-05
592,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.003179
593,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,5e-05
594,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.003452
595,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,3.7e-05
596,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.000225
597,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.000279
598,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.000812
599,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.012425
600,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.048569
601,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.040948
602,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.01203
603,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.061527
604,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.010668
605,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.01274
606,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.062815
607,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.026394
608,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.001413
609,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.021717
610,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.084106
611,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.032796
612,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.047371
613,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.04761
614,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.04076
615,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.00625
616,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.062193
617,R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,6.6e-05
618,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.002373
619,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.002248
620,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.071877
621,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.00037
622,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.00011
623,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.0
624,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,5.1e-05
625,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.001606
626,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.000481
627,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,5.3e-05
628,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,1.8e-05
629,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,1e-06
630,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.000402
631,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.01003
632,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.013411
633,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.029981
634,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.030715
635,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.035672
636,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.041113
637,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.014639
638,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.026174
639,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.046127
640,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.018224
641,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.008546
642,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.039927
643,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.013599
644,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.021663
645,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.029183
646,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.022457
647,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.007632
648,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.019529
649,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.118622
650,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000175
651,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.065224
652,R2 - AM Porto,Aveiro,Vale de Cambra,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.03559
653,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,8e-05
654,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.00101
655,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,3.7e-05
656,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000639
657,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,3.3e-05
658,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000141
659,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.006011
660,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.093917
661,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000137
662,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000865
663,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000453
664,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.006472
665,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.02235
666,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.046308
667,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.032402
668,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.032456
669,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.010973
670,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.007229
671,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.010977
672,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.028281
673,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.009406
674,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.005196
675,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.046854
676,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.003739
677,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.022592
678,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.004661
679,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.019252
680,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.005485
681,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.010859
682,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.001831
683,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.000611
684,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.030912
685,R2 - AM Porto,Aveiro,Vale de Cambra,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.03559
686,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,5.9e-05
687,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,2.4e-05
688,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,1.5e-05
689,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.003479
690,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,5e-05
691,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,7.8e-05
692,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.001733
693,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.00287
694,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.000422
695,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.00016
696,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,9.5e-05
697,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.00597
698,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.020282
699,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.005856
700,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.002606
701,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004268
702,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.001131
703,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.019036
704,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.011798
705,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004595
706,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.024549
707,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.003661
708,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.056444
709,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.000804
710,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004351
711,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.001876
712,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.080529
713,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.005529
714,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004607
715,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004512
716,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,5e-06
717,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.000112
718,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,5e-06
719,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.000172
720,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,1.3e-05
721,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,4.7e-05
722,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.000332
723,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,5.3e-05
724,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.00429
725,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.001136
726,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.002521
727,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.00417
728,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000194
729,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.007369
730,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000504
731,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.001337
732,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.001184
733,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000102
734,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.01
735,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.01251
736,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,7.8e-05
737,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000804
738,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000363
739,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.00013
740,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.0015
741,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,7e-06
742,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,2.2e-05
743,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,2.2e-05
744,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,1e-06
745,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,1e-06
746,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000446
747,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,1e-06
748,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.00256
749,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.006365
750,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.017399
751,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.006876
752,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.020064
753,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.014139
754,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.002896
755,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.016054
756,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.00813
757,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000722
758,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.003694
759,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.0033
760,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.001545
761,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.00294
762,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.014045
763,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.002463
764,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.014539
765,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.003999
766,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,3.7e-05
767,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.010152
768,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000132
769,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,5e-05
770,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,1e-05
771,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,2.3e-05
772,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,2.6e-05
773,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.038145
774,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000113
775,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000379
776,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000109
777,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.001757
778,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000452
779,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,7.9e-05
780,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000169
781,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000484
782,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000243
783,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.00039
784,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000543
785,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,5.6e-05
786,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000367
787,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,7.3e-05
788,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.0
789,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000221
790,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,5.2e-05
791,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,5.3e-05
792,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000151
793,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,7.1e-05
