Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight
R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,6.6e-05
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.002373
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.002248
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.071877
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.00037
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.00011
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.0
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,5.1e-05
R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.001606
R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.000481
R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,5.3e-05
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,1.8e-05
R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,1e-06
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.000402
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.01003
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.013411
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.029981
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.030715
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.035672
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.041113
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.014639
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.026174
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.046127
R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.018224
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.008546
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.039927
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.013599
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.021663
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.029183
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.022457
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.007632
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.019529
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.118622
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000175
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.065224
R2 - AM Porto,Aveiro,Vale de Cambra,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.03559
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,8e-05
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.00101
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,3.7e-05
R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000639
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,3.3e-05
R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000141
R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.006011
R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.093917
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000137
R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000865
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.000453
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.006472
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.02235
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.046308
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.032402
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.032456
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.010973
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.007229
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.010977
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.028281
R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.009406
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.005196
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.046854
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.003739
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.022592
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.004661
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.019252
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.005485
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.010859
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.001831
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.000611
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.030912
R2 - AM Porto,Aveiro,Vale de Cambra,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.03559
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,5.9e-05
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,2.4e-05
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,1.5e-05
R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.003479
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,5e-05
R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,7.8e-05
R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.001733
R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.00287
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.000422
R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.00016
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,9.5e-05
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.00597
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.020282
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.005856
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.002606
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004268
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.001131
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.019036
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.011798
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004595
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.024549
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.003661
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.056444
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.000804
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004351
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.001876
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.080529
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.005529
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004607
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.004512
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,5e-06
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.000112
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,5e-06
R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.000172
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,1.3e-05
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,4.7e-05
R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.000332
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,5.3e-05
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.00429
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.001136
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.002521
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.00417
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000194
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.007369
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000504
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.001337
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.001184
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000102
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.01
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.01251
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,7.8e-05
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000804
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000363
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.00013
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.0015
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,7e-06
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,2.2e-05
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,2.2e-05
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,1e-06
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,1e-06
R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.000446
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,1e-06
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.00256
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.006365
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.017399
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.006876
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.020064
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.014139
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.002896
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.016054
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.00813
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000722
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.003694
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.0033
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.001545
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.00294
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.014045
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.002463
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.014539
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.003999
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,3.7e-05
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.010152
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000132
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,5e-05
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,1e-05
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,2.3e-05
R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,2.6e-05
R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.038145
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000113
R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000379
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.000109
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.001757
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000452
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,7.9e-05
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000169
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000484
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000243
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.00039
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000543
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,5.6e-05
R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000367
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,7.3e-05
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.0
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000221
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,5.2e-05
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,5.3e-05
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000151
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,7.1e-05
R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,8.3e-05
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,2.7e-05
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.010152
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.0
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,5e-06
R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.001533
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.0
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.001385
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.004839
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.004547
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.004124
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.004597
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.001428
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.001335
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.003548
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.006358
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.001101
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.006483
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.000473
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.001415
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Beato,8.6e-05
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.002592
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.00356
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.002553
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.00144
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Beato,2.9e-05
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.000282
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Beato,2.5e-05
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Beato,5e-06
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Beato,1e-06
R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.000146
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Beato,1e-05
R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Beato,8e-06
R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.001109
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Beato,3.7e-05
R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Beato,3.4e-05
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Beato,4e-05
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.001258
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.000434
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,8.9e-05
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.000295
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.001338
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,6.6e-05
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.001333
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.001214
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,9.7e-05
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,3.3e-05
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.004015
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,6.3e-05
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,3.7e-05
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,2.3e-05
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.000112
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,7.1e-05
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.000323
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,6.6e-05
